Date,Open,Close,Low,High,Volume,,MACD,,
1911-08-31,61.9,57.4,57.22,61.9,0,,-0.225234205,,
1911-09-30,57.34,54.43,52.83,58.14,0,,-0.557954284,,
1911-10-31,55.59,54.89,54.19,56.74,0,,-0.704163854,,
1911-11-30,56.27,58.64,56.27,59.29,0,,-0.514242659,,
1911-12-31,58.16,59.08,57.35,59.61,0,,-0.333661597,,
1912-01-31,59.65,58.08,58.08,59.65,0,,-0.259538063,,
1912-02-29,58.3,58.95,58.18,59.08,0,,-0.136095151,,
1912-03-31,59.44,63.9,59.44,64.18,0,,0.272475367,,
1912-04-30,64.49,65.4,64.26,65.86,0,,0.617548436,,
1912-05-31,65.42,63.74,63.44,65.53,0,,0.701661898,,
1912-06-30,64.16,65.97,64.16,65.97,0,,0.864453051,,
1912-07-31,66.16,64.97,63.71,66.41,0,,0.859922757,,
1912-08-31,65.52,66.32,65.07,66.67,0,,0.898767679,,
1912-09-30,65.63,68.19,65.46,68.19,0,,0.993899743,,
1912-10-31,68.01,65.7,65.44,68.17,0,,0.838814205,,
1912-11-30,65.55,66.09,64.88,66.59,0,,0.716910005,,
1912-12-31,65.8,63.64,61.74,65.8,0,,0.439317498,,
1913-01-31,64.04,60.63,59.06,64.15,0,,0.041955248,,
1913-02-28,60.3,58.17,57.01,60.45,0,,-0.37464188,,
1913-03-31,58.9,58.61,56.67,59.16,0,,-0.595531238,,
1913-04-30,59.33,56.88,56.77,60.25,0,,-0.819302365,,
1913-05-31,57.66,56.77,56.77,57.9,0,,-0.927897307,,
1913-06-30,55.96,54.24,52.23,55.96,0,,-1.110933201,,
1913-07-31,54.63,56.84,54.49,57.26,0,,-1.001115541,,
1913-08-31,56.64,59.25,56.64,59.25,0,,-0.723343382,,
1913-09-30,58.62,58.21,58.14,60.14,0,,-0.573384166,,
1913-10-31,58.51,56.71,55.83,58.98,0,,-0.539446003,,
1913-11-30,56.32,55.2,55,56.57,0,,-0.579415354,,
1913-12-31,54.88,57.06,54.51,57.11,0,,-0.447227111,,
1914-01-31,56.92,59.97,56.92,60.03,0,,-0.146035481,,
1914-02-28,59.79,59.39,58.89,60.25,0,,0.022904432,,
1914-03-31,59.14,59.67,58.75,60.42,0,,0.154926408,,
1914-04-30,59.72,57.3,56.14,59.73,0,,0.08741821,,
1914-05-31,58.02,59.08,57.33,59.14,0,,0.163031315,,
1914-06-30,58.65,58.42,57.43,59.27,0,,0.168299637,,
1914-07-31,58.18,51.73,51.73,59.24,0,,-0.256003066,,
1914-12-31,56.76,54.58,53.17,56.76,0,,-0.31790592,,
1915-01-31,55.44,56.54,55.4,58.51,0,,-0.205491668,,
1915-02-28,55.59,55.02,54.22,57.83,0,,-0.211328886,,
1915-03-31,55.29,60.83,55.29,61.3,0,,0.1772873,,
1915-04-30,61.05,71.78,61.05,71.78,0,,1.120386054,,
1915-05-31,69.54,65.01,60.38,69.58,0,,1.228182354,,
1915-06-30,64.86,70.06,64.86,71.9,0,,1.558301909,,
1915-07-31,69.85,75.53,67.88,75.79,0,,2.033715694,,
1915-08-31,76.46,81.2,76.46,81.88,0,,2.583403395,,
1915-09-30,81.79,90.58,80.7,90.58,0,,3.381704443,,
1915-10-31,90.88,95.34,88.23,96.46,0,,3.991438066,,
1915-11-30,95.16,96.71,91.08,97.56,0,,4.225578861,,
1915-12-31,95.9,99.15,94.78,99.21,0,,4.270685251,,
1916-01-31,98.81,90.58,90.58,98.81,0,,3.482577753,,
1916-02-29,91.93,91.03,90.89,96.15,0,,2.781239658,,
1916-03-31,90.69,93.25,90.52,96.08,0,,2.277670503,,
1916-04-30,94.13,89.65,87,94.46,0,,1.547846939,,
1916-05-31,90.3,91.8,87.71,92.62,0,,1.077893764,,
1916-06-30,91.87,89.58,87.68,93.61,0,,0.514118107,,
1916-07-31,89.37,89.25,86.4,90.53,0,,0.040533993,,
1916-08-31,89.05,92.25,88.15,93.83,0,,-0.139273313,,
1916-09-30,91.19,103.73,91.19,103.73,0,,0.415970012,,
1916-10-31,103.01,104.61,98.94,105.28,0,,0.725406742,,
1916-11-30,105.9,105.97,105.63,110.15,0,,0.893534606,,
1916-12-31,106.17,95,90.16,106.76,0,,0.175370928,,
1917-01-31,96.15,95.43,95.43,99.18,0,,-0.333534128,,
1917-02-28,88.52,91.56,87.01,94.91,0,,-0.958258054,,
1917-03-31,91.1,96.72,91.1,98.2,0,,-1.044368374,,
1917-04-30,97.06,93.23,90.66,97.06,0,,-1.338014541,,
1917-05-31,93.42,97.38,89.08,97.41,0,,-1.255730182,,
1917-06-30,97.89,95.38,94.78,98.58,0,,-1.331749903,,
1917-07-31,95.23,91.75,90.48,95.31,0,,-1.60399394,,
1917-08-31,92.26,83.4,83.4,93.85,0,,-2.282519641,,
1917-09-30,81.2,83.46,81.2,86.02,0,,-2.638216504,,
1917-10-31,83.58,74.5,74.5,83.58,0,,-3.342546585,,
1917-11-30,71.41,72.65,68.58,74.23,0,,-3.767109137,,
1917-12-31,72.55,74.38,65.95,74.38,0,,-3.757009312,,
1918-01-31,76.68,79.8,73.38,79.8,0,,-3.230950816,,
1918-02-28,79.28,80.39,77.78,82.08,0,,-2.709951601,,
1918-03-31,79.93,76.41,76.41,79.93,0,,-2.504905281,,
1918-04-30,77.16,77.51,75.58,79.42,0,,-2.178738064,,
1918-05-31,78.16,78.08,78.08,84.04,0,,-1.822610417,,
1918-06-30,78.55,82.58,78.53,83.02,0,,-1.211415435,,
1918-07-31,81.81,81.23,80.51,82.96,0,,-0.842961314,,
1918-08-31,80.71,82.46,80.71,83.18,0,,-0.479396582,,
1918-09-30,83.84,84.68,80.29,84.68,0,,-0.07368296,,
1918-10-31,83.95,85.51,83.36,89.07,0,,0.248641976,,
1918-11-30,85.53,80.93,79.87,87.66,0,,0.155983428,,
1918-12-31,81.13,82.2,80.44,84.5,0,,0.181056401,,
1919-01-31,82.6,80.61,79.88,83.35,0,,0.095675661,,
1919-02-28,80.91,84.81,79.35,85.68,0,,0.314826682,,
1919-03-31,85.58,88.85,84.24,89.05,0,,0.702435673,,
1919-04-30,88.84,92.88,88.84,93.51,0,,1.173072583,,
1919-05-31,93.26,105.5,93.26,105.5,0,,2.216598282,,
1919-06-30,106.92,106.98,99.56,107.55,0,,2.848515382,,
1919-07-31,108.13,107.16,107.16,112.23,0,,3.099862743,,
1919-08-31,107.99,104.75,98.46,107.99,0,,2.927147356,,
1919-09-30,106.26,111.42,105.84,111.42,0,,3.070484508,,
1919-10-31,111.12,118.92,108.9,118.92,0,,3.450373702,,
1919-11-30,119.62,103.72,103.72,119.62,0,,2.502089647,,
1919-12-31,104.03,107.23,103.55,107.97,0,,1.959368669,,
1920-01-31,108.76,104.21,101.9,108.85,0,,1.278101958,,
1920-02-29,103.01,91.18,89.98,103.01,0,,-0.096017274,,
1920-03-31,92.4,102.81,91.68,104.17,0,,-0.258407011,,
1920-04-30,102.66,93.54,93.16,105.65,0,,-0.985995649,,
1920-05-31,94.03,91.81,87.36,94.41,0,,-1.546266141,,
1920-06-30,90.2,90.76,90.16,93.06,0,,-1.925374291,,
1920-07-31,91.26,86.86,86.86,94.51,0,,-2.348551944,,
1920-08-31,84.95,86.16,83.2,87.29,0,,-2.567598486,,
1920-09-30,86.34,82.95,82.95,89.95,0,,-2.80154708,,
1920-10-31,84,85.08,84,85.73,0,,-2.685400403,,
1920-11-30,85.48,76.04,73.12,85.48,0,,-3.062632128,,
1920-12-31,76.5,71.95,66.75,77.3,0,,-3.406450972,,
1921-01-31,72.67,76.13,72.67,76.76,0,,-3.175767647,,
1921-02-28,75.48,74.98,74.34,77.14,0,,-2.930000224,,
1921-03-31,74.71,75.76,72.25,77.78,0,,-2.557815762,,
1921-04-30,75.72,78.57,75.06,78.86,0,,-1.990526436,,
1921-05-31,79.65,73.44,73.44,80.03,0,,-1.832862844,,
1921-06-30,73.51,68.45,64.9,73.51,0,,-1.927097773,,
1921-07-31,68.35,68.37,67.25,69.86,0,,-1.856540889,,
1921-08-31,69.68,67.11,63.9,69.95,0,,-1.75746781,,
1921-09-30,66.83,71.08,66.83,71.72,0,,-1.3079429,,
1921-10-31,71.61,73.21,69.46,73.8,0,,-0.776769845,,
1921-11-30,73.44,77.3,73.44,78.01,0,,-0.095413247,,
